ICAO,IATA,Airport Name,Community,Province or Territory,Notes
EFAH,,Ahmosuo Airport,Oulu,,
EFAL,,Alavus Airport,Alavus,,
EFET,ENF,Enontekiö Airport,Enontekiö,,
EFEU,,Eura Airport,Eura,,
EFFO,,Forssa Airport,Forssa,,
EFHA,KEV,Halli Airport,Kuorevesi,,
EFHE,,Hernesaari Heliport,Helsinki,,
EFHF,HEM,Helsinki-Malmi Airport,Helsinki,,
EFHK,HEL,Helsinki-Vantaa Airport,Vantaa,,
EFHM,,Hämeenkyrö Airport,Hämeenkyrö,,
EFHN,,Hanko Airport (Hangö Airport),Hanko (Hangö),,
EFHV,HYV,Hyvinkää Airport,Hyvinkää,,
EFIK,,Kiikala Airport,Kiikala,,
EFIM,,Immola Airport,Imatra,,
EFIT,KTQ,Kitee Airport,Kitee,,
EFIV,IVL,Ivalo Airport,Ivalo / Inari,,
EFJM,,Jämijärvi Airport,Jämijärvi,,
EFJO,JOE,Joensuu Airport,Joensuu / Liperi,,
EFJY,JYV,Jyväskylä Airport,Jyväskylän maalaiskunta,,
EFKA,KAU,Kauhava Airport,Kauhava,,
EFKE,KEM,Kemi-Tornio Airport,Kemi / Tornio,,
EFKH,,Kuhmo Airfield,Kuhmo,,
EFKI,KAJ,Kajaani Airport,Kajaani,,
EFKJ,KHJ,Kauhajoki Airport,Kauhajoki,,
EFKK,KOK,Kokkola-Pietarsaari Airport,Kronoby,,
EFKM,,Kemijärvi Airport,Kemijärvi,,
EFKO,,Kalajoki Airport,Kalajoki,,
EFKS,KAO,Kuusamo Airport,Kuusamo,,
EFKT,KTT,Kittilä Airport,Kittilä,,
EFKU,KUO,Kuopio Airport,Kuopio / Siilinjärvi,,
EFKV,,Kivijärvi Airport,Kivijärvi,,
EFKY,,Kymi Airport,Kymi,,
EFLA,,Vesivehmaa Airport,Lahti,,
EFLP,LPP,Lappeenranta Airport,Lappeenranta,,
EFMA,MHQ,Mariehamn Airport,Mariehamn,,
EFME,,Menkijärvi Airport,Alajärvi,,
EFMI,MIK,Mikkeli Airport,Mikkeli,,
EFNU,,Nummela Airport,Nummela,,
EFOU,OUL,Oulu Airport,Oulunsalo,,
EFPI,,Piikajärvi Airport,Kokemäki,,
EFPK,,Pieksämäki Airport,Pieksämäki,,
EFPO,POR,Pori Airport,Pori,,
EFPR,,Pyhtää Redstone,Pyhtää,,
EFPU,,Pudasjärvi Airport,Pudasjärvi,,
EFPY,,Pyhäsalmi Airport,Pyhäsalmi,,
EFRH,,Pattijoki Airport,Raahe,,
EFRN,,Rantasalmi Airport,Rantasalmi,,
EFRO,RVN,Rovaniemi Airport,Rovaniemi,,
EFRU,,Ranua Airport,Ranua,,
EFRV,,Kiuruvesi Airport,Kiuruvesi,,
EFRY,,Räyskälä Airport,Loppi,,
EFSA,SVL,Savonlinna Airport,Savonlinna,,
EFSE,,Selänpää Airport,Kouvola,,
EFSI,SJY,Seinäjoki Airport,Seinäjoki / Ilmajoki,,
EFSO,SOT,Sodankylä Airport,Sodankylä,,
EFTP,TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,,
EFTS,,Teisko Airport,Tampere,,
EFTU,TKU,Turku Airport,Turku,,
EFUT,UTI,Utti Airport,Utti / Valkeala,,
EFVA,VAA,Vaasa Airport,Vaasa,,
EFVR,VRK,Varkaus Airport,Varkaus / Joroinen,,
EFYL,YLI,Ylivieska Airport,Ylivieska,,
