ICAO,IATA,Airport Name,Community,Province or Territory,Notes
EHAL,,Ameland Airport,Ballum,,
EHAM,AMS,Amsterdam Airport Schiphol,"Haarlemmermeer, near Amsterdam",,
EHBD,,Budel Airport,Weert,,
EHBK,MST,Maastricht Aachen Airport,Beek,,
EHDL,,Deelen Airbase,Deelen,,
EHDP,,De Peel Airbase,Venray,,
EHDR,,Drachten Airfield,Drachten,,
EHEH,EIN,Eindhoven Airport,Eindhoven,,
EHGG,GRQ,Groningen Airport Eelde,Eelde,,
EHGR,GLZ,Gilze-Rijen Airbase,Gilze and Rijen,,
EHHE,,Eemshaven Heliport,,,
EHHO,,Hoogeveen Airfield,Hoogeveen,,
EHHV,,Hilversum Airfield,Hilversum,,
EHKD,DHR,De Kooy Airfield,De Kooy,,
EHLE,LEY,Lelystad Airport,Lelystad,,
EHLW,LWR,Leeuwarden Air Base,Leeuwarden,,
EHMM,,Vliegveld Middenmeer,Middenmeer,,
EHMZ,,Midden-Zeeland Airport,Middelburg,Zeeland,
EHND,,Numansdorp Airfield,Numansdorp,,
EHOW,,Oostwold Airport,Scheemda,,
EHRD,RTM,Rotterdam The Hague Airport,Rotterdam,,
EHSB,SSB,Soesterberg Air Base,Soesterberg,,closed in 2015 as transferred into National Military Museum
EHSE,,Breda International Airport,Hoeven,,
EHST,,Stadskanaal Airfield,Stadskanaal,,
EHTE,,Teuge International Airport,Deventer,,
EHTL,,Terlet Airfield,Terlet,,
EHTW,ENS,Enschede Airport Twente,Enschede,,
EHTX,,Texel International Airport,Texel,,
EHVB,,Valkenburg Airbase,Valkenburg,,closed circa 2000
EHVE,,TrafficPort Venlo,Venlo,,closed
EHVK,UDE,Volkel Airbase,Uden,,
EHWO,WOE,Woensdrecht Air Base,Woensdrecht,,
EHYB,,Ypenburg Airport,The Hague,,closed 1991
EHYP,,IJmuiden Heliport,IJmuiden,,
